"I like passing through here to look at the swords, but I\'ve never had the cash to actually buy anything. \nThe shopkeeper always gives me a mean look - I think he\'s hiding a dark secret.",经过这里的时候，我总喜欢停下脚步欣赏这些剑，不过我从来没花钱买过任何东西。\n店员总是给我使白眼，他现在也藏在某个阴暗的角落里吧。
"Eh, there\'s some odd types in here today.               \n\nNever seen it so busy before.",呃，今天这里有些反常。               \n\n以前都没见过有这么忙的。
"Meh, meow? \nMeeeow?",喵，喵？ \n喵~~？
"Nah, this place won\'t give any leftovers to bums like you. \n(I\'ve tried it myself…)",不，这地方不会有剩饭留给你这样的懒鬼。\n（我以前试过……）
"Woah, what the hell? \nThere\'s a huge fireball in the sky!",哇，那是什么鬼？\n天上居然有个大火球！
"Oh wait, I see - that\'s just the sun.       \n\nHaven\'t seen that in a while... I better be careful out here.",哦，等下，我知道了——那只是太阳。       \n\n有一小会没见到它了……下次从这出来时我得注意这点。
"There\'s some monsters up ahead - one might even call them \""foes\"".            \nAnd if I know anything about foes, it\'s that they drop loot when they\'re defeated - so it\'s time to get to work!",前面有怪物出没，有人称它们为“敌怪”。            \n而且据我所知，敌怪被打败时会掉落战利品。所以说，开工啦！
But they\'re just standing around peacefully for some reason. \nI might have to talk to them to spark things off…,不过由于一些原因，它们只会在周围和平地站着。\n我需要跟它们对话来触发战斗……
What\'s this? \nI sense an ambush up ahead...        \n\nDoes he think I can\'t see him?,那是什么？\n我发现前面有伏兵……        \n\n他是认为我没有看到他吗？
"I think it\'s the cat that\'s been stealing my trash. \nWell I\'ve had a few practice battles, I bet I can take on a cat now!",它就是那只一直在偷翻我垃圾的猫吧。\n我已经经历过几次战斗了，我想我现在的实力足以对付一只猫。
"Stay back, you beast! \nYou can\'t trick me with your crocodile tears! \nWhy were you stealing my garbage?",退后，你个野兽！\n你那假到不行的眼泪是骗不了我的！\n你为什么要偷我的垃圾？
Meeeowwww.…,喵呜呜呜呜……
"What\'s that? You want to join my party? \nYou may be a worthy ally after all, little cat.          \n\nWhat\'s your name?",什么？你要加入我的队伍？\n好吧，也许你能帮上我的忙，小猫咪。          \n\n你叫什么名字？
Meow!,喵！
"NoLegs? What a strange yet fitting name! \nI was planning on cooking you, but I\'ll keep you around for a while instead. \nWe can be partners in crim- er, adventure!",腿无？好奇怪的名字，不过还挺适合的！\n我原本打算把你煮了吃，不过现在姑且留你在身边。\n我们能成为犯——呃，冒险同盟！
M-meow?,喵、喵？
"Yeah, that\'s right. \nI\'m on a quest for revenge, and also for treasure!         \n\nStick with me and we\'ll be rich in no time!",没错，你说得对。\n我现在正进行着复仇和寻宝的任务！         \n\n跟我混吧，我们很快就会变得很有钱！
"Hey, we\'re both getting quite good at whacking foes. \nMaybe we should try learning some new attacks in the \""Skills\"" menu?",嘿，我们俩是越来越擅长对付敌怪了。\n我们是不是应该在“技能”菜单中学点新的攻击招式？
Meow...?  \nMeow!?,喵……？ \n喵！？
"Yeah, I think that\'s how we spend the Ability Points we get from battles!",没错，从战斗中获得的能力点能用在那里。
"Oh no, I remember these people. \nThey always try to convince me to collect crap for them.        \n\nWell I\'m not going to be an errand boy!",糟糕，我想起这些人了。\n他们总要我为他们收集废品。        \n\n我可不想变成跑腿男孩！
"Meow, meow... meow!",喵，喵……喵！
You think they\'ll reward us with something good? \nI really doubt that - they don\'t look very rich.,你觉得他们会给我们好东西作为回报？\n我不怎么信，他们看上去不是很有钱。
What\'s with all of these block puzzles? \nWho designs this crap and just leaves it outside to torment me?,这些推箱子谜题怎么搞啦？\n谁设计的这狗屎玩意，还把它放在外面让我受苦？
"Wow, we\'re making bank already! \nThese foes are just standing around and waiting for us to rob them! \nAnd there\'s so many treasure chests just lying around!",哇，我们能开银行了！\n那些敌怪只会站着等我们去抢劫！\n而且周围还放有这么多的宝箱！
Meow!,喵！
"Yeah, you\'re a pretty good ally!      \n\nI think I\'ll let you keep 10% of our treasure, since you\'re about ten times smaller than me and don\'t need so much stuff.",没错，你是个出色的盟友！      \n\n不过你的体型比我小十倍，不需要那么多的材料，所以我会分给你10%的宝物。
*not pleased at all*,*一点都不开心*
"Woah, what in the name of Godcat is that? \nThat giant black rock isn\'t supposed to be there!          \n\nDid it fall from the sky? Is that what shook my house?",哇，请你用猫神名义告诉我，那是什么？ \n那个巨大的黑色石头不该出现在那里！          \n\n它是从天上掉下来的吗？是它引起我房子的震动吗？
*hisses at the monolith*,*对着巨石发出了嘶嘶声*
"Yeah, I agree. \nThis looks like a bad omen of some sort.       \n\nI feel like it\'s watching me somehow - even though it\'s just a stupid rock!",是啊，我也觉得是这样。\n这看起来像是某种不详的预兆。       \n\n我总觉得它在用某种方法观察着我——虽然它只是块烂石头！
"Lame - these side roads are blocked off by dirt! \nA shovel would really help, and I bet we can steal one at the Farmer\'s Market.       \n\nWe just gotta keep pushing forward until we find a way there…",混蛋——岔路都被泥石给挡住了！\n要是有铲子就好了，我觉得我们能从农家市场偷来一把。       \n\n在找到去市场的路前，我们也只能往前走了……
"Hold on, I\'m not sure if this is mentioned anywhere... But I think I can close menus by right-clicking anywhere! \nThat could speed things up a bit... ",等下，我不知道之前有没有在哪说过……我可以右键任意地方关闭菜单！\n这方法应该能让运行顺畅一点点……
"Hmm, it looks like we heal quite quickly outside of battle. \nBut it\'s not instant, so we might have to wait a minute sometimes…",嗯，看来我们不在战斗时，生命值能快速地恢复。\n不过并不是马上就治好，所以我们得等上一小会……
I guess that\'s a chance to upgrade some skills or equipment!,这段时间我们可以用来升级技能或是装备！
"Ah, here we go. This is the Farmer\'s Market.        \nWe can grab that shovel over there, and maybe a few other things if we don\'t get caught.",啊，我们到了。这里就是农家市场。        \n过去那边我们就能抢到铲子了，要是我们没被抓住，也许还能顺走一些别的东西。
Meow!,喵！
"Yeah, I thought you might be up for a bit of thievery. \nWe make a good team!",好啦，我会分给你一些赃物。\n我们可是最好的队伍！
"A-are you okay? How are you feeling? \nWe weren\'t trying to cause any major trouble, I promise.",你、你还好吗？感觉怎么样？\n我们没想过要惹是生非的，我发誓。
My head\'s spinning... w-what happened?,我的头在转……发、发生了什么？
Can we forget this whole confrontation ever happened? \nLet\'s move away from here before anyone starts asking questions…,我们就当无事发生，好吗？\n趁现在没人问起这件事，我们最好开溜……
Meow!,喵！
"Oh, you\'re right! \nI think she\'s sobering up.            \nGotta make up an alibi fast!",哦，你说得对！\n我想她正在清醒过来。            \n得快点做好不在场证明。
What happened to me? \nDid the thieves get away?,我是怎么了？\n小偷都走了吗？
"Hey, we\'re Matt and NoLegs, just a bunch of chumps looking to fight monsters and do good deeds. \n\nYup, that\'s us. \nYou just fainted for a while.",嘿，我们是马特和腿无，两个只打怪和只做好事的木头人。\n\n是的，我们就是这样的人。\n你只是晕过去了一会。
"Oh, I remember now. \nYou jerks were caught stealing, and then YOU ATTACKED ME!           \n\nPlease explain yourselves.",哦，我想起来了。\n你们两个混蛋在偷东西被抓了个现行，然后你们就袭·击·了·我！           \n\n你们最好解释解释。
"Super sorry about that. \nWe just didn\'t want to go to jail - we didn\'t even steal anything valuable yet. \nWe\'re still stretching our wings and learning the ropes around here, or something like that.",超级抱歉啦。\n我们只是不想进监狱，我们都还没偷过任何值钱的东西。\n我们还处于伸展翅膀和学习套索等诸如此类技巧的过程中。
"(Hmm, maybe I can use these morons for the time being... if they\'ll cooperate.)",（嗯，要是能与他们合作，也许我能暂时利用这些傻瓜……）
"Well you put up a good fight at least. Perhaps we can work together for a while.         \nThere\'s a lot of monsters around lately - probably due to that meteor. \nI\'ve been sent on a mission to investigate the monoliths that fell alongside it, and could use some help.",好吧，至少你打架的功力还不错。也许我们能暂时进行合作。         \n也许是受陨石的影响，最近这周围多了很多怪物。\n我是被派来调查这些坠落的石碑，我需要一些帮手。
"We\'re on a mission too - to find treasure, and food, and to get stronger! \nWe\'ve already learned a lot out here.",我们也有自己的任务，像是找宝物，找食物，以及让自己变得更强大！\n我们在这已经学到不少东西了。
Meowth! \n(That\'s right!),喵嘶！\n（说得没错）
"Alright then, let\'s use that shovel you\'ve \""borrowed\"" and head to the coast. \nWith all of the bridges having been knocked out, our only way off of this island is through the Ice Cave to the south-east.         \n\nThere might be a few big monsters along the way - but nothing we can\'t handle together!",好吧，那我们就利用你“借来”的铲子前往海边吧。\n不过所有桥梁都被震断了，东南边的冰窟是我们离开这座岛的唯一出路。         \n\n路上也许会有几只大怪，不过只要我们齐心合力，就没有事情能难倒我们的！
"Ya, hear that NoLegs? \nWe\'re going on a proper adventure, far away from home!",呀，听到了吗，腿无？\n我们真的要踏上远离家乡的冒险了！
:3,(^ω^)
"Oh, and I\'m Natalie by the way. \nPleased to meet you both.",差点忘了，我叫娜塔莉。\n很高兴认识你们。
Ace! There\'s more stuff back here! \nWe can sneak past the shopkeepers like ninjas!,好极了！这后面有更多的材料！\n我们能像忍者一样从店员眼皮下偷偷溜过去！
"Aha, there\'s something hidden back here. \nAlmost missed this one.",啊哈，这后面藏有东西。\n差点就漏了这个。
Really? \nWe\'re gonna steal from this friendly family?,真要这么做吗？\n真的要从这个善人之家偷走东西吗？
"I\'m sorry Natalie, but this is just how the game is played. \nI\'m sure you\'ll get used to it eventually.",我也感到难过，娜塔莉，不过这游戏就是这么设计的。\n你迟早都会习惯的。
"*sigh*             \n\n(I\'m gonna make this right someday, I swear.)",*叹气*             \n\n（天地为鉴，总有一天我要纠正这种错误。）
"So, uh, Natalie.",那个，呃，娜塔莉。
Yeah? \nWhat\'s up?,呃？\n有什么事吗？
"What sort of things are you into? \nLike, uh, hobbies I mean.                \n\nDo you like video games? \'Cause I do.",你有什么感兴趣的东西吗？\n像是，呃，业余爱好。                \n\n你喜欢电子游戏吗？我就很喜欢。
"Um, I\'ve been playing a lot of addictive puzzle games on my phone lately. \nI\'ve also got a DS with a bunch of mystery solving games.          \n\nThose are really fun to play while I\'m travelling. ^_^",呃，最近我在手机上玩过许多让人上瘾的益智游戏。\n我还买了DS掌机以及好多解密游戏。          \n\n在旅行路上玩真的很有趣。^ᴗ^
"Oh, I don\'t like puzzle games.         \n\nThose kind of suck, in my opinion.",哦，我可不喜欢益智游戏。         \n\n它们会让我觉得恶心。
Whatever.,不管哪一种都一样。
"Hey, there\'s some shops near here, right? \nI think this is a good chance to grab any healing items we\'re short on, and upgrade some equipment.         \n\nOh, and get some snacks for NoLegs, too!",嘿，这附近有商店，对吧？\n我想这是天赐良机，我们可以借走我们短缺的恢复道具，还可以升级一些装备。         \n\n哦对了，还要给腿无拿点食物！
"Mehehe, Meow! \nMeow!",喵呵呵，喵！\n喵！
"What do you mean? Are you saying she\'d make a better leader than me? \nAre you going to betray me already, NoLegs? \nDon\'t make me regret not eating you.",你什么意思？你是说她当队长比我当的好？\n你是要背叛我吗，腿无？\n别让我后悔没吃掉你。
Meow…,喵……
That\'s a horrible thing to say to your pet! \nYou can\'t treat NoLegs like that!,你怎么能对你的宠物说这种鬼话！\n你不能这么对待腿无！
"(Oh, she\'s mad...)               \n\nHeh heh heh, I\'m totally just kidding, right NoLegs?",（哦，她开始抓狂了……）               \n\n呵呵呵，我只是在开玩笑，对吧腿无？
…,……
"This stone block looks big, but it\'s actually surprisingly light. \nEven NoLegs could push it.          \n\nWe can just push it out of the way and continue south.",这块挡路的石头看起来很大，却意外的很轻。\n就连腿无都能推得动。          \n\n只要推开它我们就能继续往南走了。
"Okay, that thing over there by the cave is definitely a boss.",好吧，那边那个守着洞窟的家伙肯定就是BOSS了。
"Yeah, that\'s the Ice Cave! \nLet\'s look around first and not rush into this.",没错，那边就是冰窟！\n先别急着冲过去，我们在周围先观察观察。
"Yeah, we did it! \nI was worried for a while, but we really showed him who\'s boss!         \nI think we really balance out each other\'s weaknesses, and make a great team.",喔，我们成功了！\n刚开始我还有点担心，不过我们用实力证明了谁才是真正的BOSS！         \n我们很好地弥补了各自的短处，这队伍真是超级棒。
I just hit things with my sword. \nI\'m glad you\'ve got every other position covered.,我只会用剑砍东西。\n有你看着其它方面的事情真是太好了。
"You should give yourself more credit! \nYou\'re tough and won\'t go down easily, that helps a lot in battles like these!",你要自信点！\n你很耐打，不容易倒下，这点在战斗中很有用！
"He kept hitting me, but I wanted to win so badly that I took the hits and just kept on fighting. \nSometimes the pain just made me angrier and even stronger!           \n\n(Am I finally useful? Have I found my purpose in life?!)",他一直在打我，不过我太想赢了，所以我没怎么在意，一心想着和他干到底。\n有时伤痛只会让我变得更加愤怒，甚至是变得更强！           \n\n（我终于派上用场了吗？我是不是找到了人生的意义？！）
"Meow, meow!",喵，喵！
"I-it\'s not like that! \nAnd of course we haven\'t forgotten about you, NoLegs. \nYou fought awesomely too.",不是这样的！\n我们当然没有忘记你的功劳，腿无。\n你也干的很漂亮。
*purrs*,*呼噜*
W-WOAH!! \nDid that slime cat bring me here?,哇、哇嗷！！ \n是那些史莱姆猫带我来这里的吗？
Or did I die and go to heaven?          \nThat might be more likely…,还是说我是死后上天堂了？          \n我想是这种可能性更高……
"Woah, this place looks super fancy. \nI\'ve got a feeling I won\'t be treated nicely around here…",哇嗷，这地方看起来太华丽了。\n我有种在这里不会受到欢迎的感觉……
"So apparently we\'ve earned enough of a reputation to be allowed in here, huh? \nI guess we\'re moving up in the world.",所以从结论上讲，我们已经获得了足够的人气继续待在这里，对吧？\n我觉得我们的地位正在提升。
"It\'s a very nice gallery. \nI visit regularly and help out with cataloguing the new artwork sometimes. \nLately there\'s been, well... a lot of artwork of us showing up.",这画廊真的很不错。\n我定期会过来参观，有时还会帮忙分类新来的艺术画。\n最近有，好吧……有很多关于我们的艺术画正在展出。
"Eh, we\'ve got fanart?! \nPeople have heard of us?",呃，我们有粉丝送我们画了？！\n大家都听说过我的事迹了吗？
Seems that way. \nWe\'ve got quite a few fans!,看起来是这样的。\n我们也有一小群粉丝了！
W-WHAT!? \nI didn\'t give them permission to put this one up!,什、什么！？\n我可没给他们挂上这玩意的许可！
*choking*,*强忍*
Such lewdness...           \n\nIncredible…,太下流了……           \n\n真不敢相信……
Wow...        \n\nJust wow…,哇……        \n\n我只能说哇……
I thought the pose was a bit too suggestive... So I wanted to keep this photo private. \n(I was also a bit chubbier at the time... and got some really mean comments about it…),这姿势有点过于让人浮想联翩了吧……所以我要把这张照片收归己有。\n（那时我还长得有点胖……还有人因此写下了非常刻薄的留言。）
"I guess putting it on the internet was a bad idea... It\'s out there forever, right?",把这玩意放到互联网上可不是个好想法……它会永远地留存在网上，对吧？
Meow...!?,喵……！？
Beer\'s not for cats though!,啤酒可不是给猫喝的！
…,……
"I have no idea who this is. \nDo you know her, NoLegs?",我对她一点印象都没有。\n你认识她吗，腿无？
Nya...?,喵呐……？
"Yeah, that\'s totally me! \nI\'m not wearing baggy clothes to hide my beer belly or anything. \nI\'m actually ripped, as you can see!",没错，这居然是我！\n我可不会穿着宽松的衣服来遮挡啤酒肚。\n就跟你看到的一样，我是真的肌肉男！
"Oh great, I\'m already seeing some dirty drawings of me in here. \nWho\'s been stalking me?",哦很好，我看到了那些画有我的脏东西。\n是谁在偷偷地跟踪我？
Are my boobs really that big?          \n\nI\'m surprised that some people can be so obsessed with them.                \nMaybe I should be used to this sort of attention by now...?,我的胸部有那么大吗？          \n\n我很好奇为什么会有人沉迷于这种东西。                \n也许我该习惯这种眼光……？
"At least the artwork is good, Natalie! \nI think it\'s all made in good faith - you just have a lot of fans who think you\'re pretty!",至少画得还不错，娜塔莉！\n我觉得他们都是发自真心的——你只是多了很多认为你很可爱的粉丝！
Yay for being famous!,成名是多高兴的一件事啊！
"(I don\'t know how else to comfort her in this situation. \nI think she looks great, but maybe this isn\'t the time to bring that up.)",（我不知道这种情况该怎么安抚她。\n我觉得她很好看，不过现在可能不太适合提起这件事。）
*Staring at the drawing and drooling*,*一边盯着画，一边流口水*
"Hey, I look really cute here. \nThis is a good drawing!",嘿，这幅画里的我看起来好可爱。\n这幅画画得太好了！
"Wow, we\'ve defeated some powerful foes in our past lives! \nThat\'s some vicious, nightmarish stuff, right there.",哇，我们打败过不少强大的敌怪！\n不过那边的东西看起来更恶毒，更糟心。
"Pffft, nonsense. \nThey\'ve been made to look more impressive in painting form. \nThey weren\'t so tough in real life.",切，乱说。\n为了增强印象，在画里它们都是经过艺术处理的。\n现实中的它们可没那么强。
"Woah, this room is full of paintings of us! \nWe\'ve gotten really famous in just a few days!",哇嗷，这间房里摆满了我们的画！\n我们在短短几天内就变得非常有名了！
This will make excellent propaganda! \nPerhaps my poor reputation can be repaired!,这是个宣传的良机！\n也许我那可怜的人气能够一发逆转！
This painting really shows off how cool I am. \nI like it!,这幅画把我帅气的一面都展示出来了。\n我喜欢。
"Hmm, I don\'t remember this happening...          \nBut at the same time... it feels oddly familiar.",嗯，我可不记得曾发生过这样的事……\n不过……它又给我一种奇怪的熟悉感。
I wonder what we\'re reacting to in this painting. \nIt must have been good.,我在想要怎么给这幅画做反应。\n一定要做得很好。
The announcement of Epic Battle Fantasy Dating Sim?,史诗幻想约会模拟器宣传画？
"Quiet, you.",闭嘴，你。
It\'s all of us! \nWe look so dynamic!,全都是我们！\n我们看起来好有活力！
"For some reason I always look a bit grumpy in these drawings, while everyone else looks like they\'re having a good time.",是什么原因让我在这些画里看起来总有些暴躁，但其它人看起来却是一脸高兴。
It looks correct. \nYou\'re always a bit grumpy.,我觉得它没画错。\n你是有点暴躁。
"Pffft, that\'s debatable.",切，谁说的。
"We really make a good team, huh? \nYou can really see it in these drawings.",我们是支好队伍，对吧？\n从这些画中就能看出来。
"Woah, this is amazing! \nI look really powerful here!",哇嗷，这看起来太棒了！\n这幅画中的我看起来真是孔武有力！
Too bad that equipment isn\'t in this game though... it\'s from Epic Battle Fantasy 3!           \n\nOr was it 4...?,只可惜这副装备不会出现在这款游戏里……它出自史诗幻想第三部！           \n\n还是第四部呢……？
We look dead serious here.,这幅画里的我们看起来很认真。
I\'m always dead serious.,我可是一直都很认真。
Why are we all dead? \nWhat in seven hells happened here?,为什么我们都变成不死人了？\n这到底是什么鬼？
I like this one. \nI see nothing wrong here.,我喜欢这幅画。\n我不觉得它有什么问题。
"Eh Natalie, we almost look like a couple or something here. \nHaha, that\'s cute.",嘿，娜塔莉，我们在这幅画里看起来就像是老夫老妻。\n哈哈，挺可爱的。
"W-what?      \nI mean, yeah, that\'s silly. We\'re not THAT close.         \n(But maybe someday though? You never know, right?)",什、什么？      \n我想说，嗯，看起来好蠢。我们之间没有那么亲密。         \n（不过将来的某天我们也许会变成那样？谁知道呢，对吧？）
"I\'m a real cutie, huh?",我很可爱，对吧？
See? Just like this!,看到了吗？就像这幅画一样！
"This is totally me. \nI\'m obviously ripped like that. \nI don\'t have a beer belly at all, those are just lies.",这才是我。\n很明显我和这幅画一样是个肌肉男。\n我可是连一丁点啤酒肚都没有，那些画都是骗子画的。
I will strive to be the super cool person this artist thinks I can be!,我要努力成为像这幅画一样的超级冷酷男！
(You gotta grow up first…),（首先你得像个大人……）
"Wow, I look so realistic here! \nWell, compared to my current deformed cartoon form.",哇，这幅画里的我看起来像是真的一样！\n最起码比我这副丑陋的卡通形象要好。
(I\'m feeling so pudgy right now…),（我现在觉得我这形象太矮了……）
"Woahhhh, this is me?              \nSo cool!",哇嗷嗷，这是我吗？              \n太酷了！
"Hey, there\'s a delicious babe on the wall.                 \n\nAnd she\'s smiling at me. <3",嘿，墙上有个漂亮姑娘。                \n\n她在对我笑。♡
That\'s not an expression you\'ll ever see from me in real life!,现实中的我才不会给你做这样的表情呢！
The background\'s so pretty! \nThis looks like somewhere I\'d love to be - it looks a lot like Greenwood!,这背景画得真好！\n看起来就像是我以前常去的地方，真的很像绿木村！
"Yup, that\'s a dragon, and a massive one at that. \nBut we\'re so strong now that we can defeat anything!",没错，这是一头龙，样子看起来很大只。\n不过现在的我们非常强，不管什么怪物都能打倒！
"Ewww, it\'s my evil clone!",咦，这是我的邪恶克隆体！
"Holy Godcat, have we found heaven?! \nThis is... everything is made of gold!",我的猫神，我们是到了天堂吗？！\n这里……所有东西都是用金子做的！
*Blinded by beauty*,*被眼前的华丽闪瞎了眼*
(I... forgot to wipe my shoes…),（我……忘了擦干净我的鞋……）
"I know this is just concept art, but I\'m glad that some of these monstrosities didn\'t make it into the game.",虽然我知道它只是张设定图，不过我还是很庆幸这里的一些怪物没被做进游戏里面。
"Some of the older EBF games had turtles in them, right?",前作有龟型怪物，对吧？
"Yeah, but they didn\'t look quite like this. \nThese are a bit different.",是的，不过它们看起来不怎么像。\n存在着一些差异。
A bird that poops eggs at you? An overturned ice cream cone?           \n\nThese would be joke enemies if they existed! \nI require something much more challenging.,会向你排泄蛋蛋的鸟？翻转的冰淇凌蛋卷？           \n\n把他们当成敌人简直是笑话！ \n我需要更有挑战性的敌人。
"Wow, these monster designs are dumb. \nThese are for kids - they look really cartoony and silly.",哇，这些怪物的设计看起来太蠢了。\n这是给小孩子看的吧，它们看起来太卡通了，简直蠢到爆。
"You ARE a cartoon! \nYou know that, right?",你也是卡通人物！\n你知道这点，对吧？
"Pffft, not like this though. \nI\'ve got style.",切，和它们才不一样呢。\n我更有型。
"Hey NoLegs, are you really a cyborg like this sketch here? \nBecause that would give me much cause for concern. \nWhat would we find if we dissected you?",嘿，腿无，你真的像这幅素描里所画的一样是只赛博猫吗？\n我真的很好奇。\n要是我们把你切开，我们能发现什么吗？
*Internal error*,*内部错误*
"Eww, spiders.            \n\nI\'m not afraid of them or anything, they just really creep out.",咦，是蜘蛛。            \n\n我一点都不怕它们，不过它们真的要爬出来啦。
"I\'d like to say that spiders are the sign of a healthy household, but if they get that big then you might have a problem. \nYou need to get the flamethrower out at some point.",让我给你科普吧，蜘蛛是一个健康家庭的标志，不过要是它们变得太大，你可能会觉得麻烦。\n这时候你就要亮出你的火焰喷射器。
"Huh, it seems that some of the skimpy outfits in this game were designed by a woman? \nIt looks like even the ladies want to show off my curves. \nI\'m cursed with a body that cannot be contained.",呃，游戏内部分暴露的外装设计是由女士操刀的？\n看来就连女人也想让我展示自己的曼妙曲线。\n我是中了衣不蔽体的诅咒。
"Wow, what a curse. \nIt must be so hard to have everyone throwing themselves at your feet. \n(I\'m obviously not jealous or anything…)",哇，好厉害的诅咒。\n让所有人都拜倒在你的石榴裙下一定很不容易吧。\n（我真的没有在嫉妒……）
M-meow...!,喵、喵……！
"Yeah, ice is slippery. \nIt might feel a bit more intuitive to use the keyboard while walking on it, but I shouldn\'t be telling you how to play anymore. \nI think you\'ve got the hang of the game by now.",没错，冰面很滑。\n在上面行走时用键盘操作也许会更直观，不过玩法上的事情我只能告诉你这么多了。\n我想你现在已经掌握了这个游戏的诀窍吧。
(Who is he talking to? Is someone watching us?),（他在和谁说话？有谁在暗中观察我们吗？）
"H-hey, wait. There\'s something I need to ask...             \nSince we teamed up I\'ve been having this weird sense of déjà vu. \nHave we met before? \nOr am I remembering some sort of dream?",嘿、嘿，等等。我有一些问题想问……            \n自从组队以来我都有一种奇怪的既视感。\n我们以前见过面吗？\n还是说在我脑海里的画面只是某种梦境。
"Now that you mention it...               \nThis is starting to feel like some of the RPGs I\'ve played, yeah! \nIt\'s a really common trope: A guy meets a girl under funny circumstances and they start travelling together.",既然你说起这件事……               \n没错，这种感觉就像是我玩过的RPG游戏！\n这开场真的很普通：在奇妙的境遇下，少年遇到了少女，于是他们共同踏上了旅程。
"No, that\'s not what I meant - I\'m not talking about video games. \nAh, never mind…",不，我不是这意思——我没说电子游戏。\n啊，算了，就当我没说……
"Damn, this cave goes on for a while. \nAre you sure there\'s an end to this?",该死，我们在这洞里走了好一段时间了。\n你确定这里有出路吗？
"Yeah, I\'m sure. \nI\'ve been through here before, it\'s just that, well... I\'ll tell you something when we get to the end.",是的，我确定。\n我以前来过这里，只要……我们找到出口，我就会告诉你怎么走的。
"Ah, daylight! \nWe\'re on a different continent and- what the hell is that castle over there? \nWho are those mean-looking guys in black coats?",啊，阳光！\n我们来到了不同的大陆——那边的城堡是什么鬼啊？\n那些穿着黑色外衣看起来很凶的家伙又是谁啊？
*cat hissing sounds*,*猫咪发出了嘶嘶声*
"Heh, well, the thing about that is... I didn\'t just need backup for that cyclops back there. \nThis is a big, dangerous world, and it just so happens that there\'s a fortress full of fascists over there, and they\'re preparing to start a war. \nI didn\'t want to scare you earlier, but we need to sneak past here - it\'s the only road forward.",嗨，好吧，事实就是……我在没有支援的情况下就能搞定后面那个独眼巨人。\n这是一个辽阔又危险的世界，正巧那边有个住满了法西斯主义者的要塞，而且他们正准备发动一场战争。\n我不是要吓唬你，但我们得从这偷偷溜过去，这是唯一能前进的道路。
